Automatic trading on ETHEUR.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '05_auto_trade_auto_sell_ETHEUR', 'symbol': 'ETH/EUR', 'tolerance': 5, 'current_trend': 1, 'min_sell_price': 1725, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 2.0, 'buy_price': 1720.36, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [1720.36], 'v_min': 1720.36, 'v_max': 1720.36}
2023-04-10 16:42:35, Price=1720.36, v_min=1720.36, v_max=1720.36, trend=1
2023-04-10 17:00:05, Price=1717.64, v_min=(1720.36,-2.72), v_max=(1721.97,4.33), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.64]
2023-04-10 17:00:20, Price=1717.75, v_min=(1720.36,-2.61), v_max=(1721.97,4.22), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.75]
2023-04-10 17:00:35, Price=1717.75, v_min=(1720.36,-2.61), v_max=(1721.97,4.22), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.75]
2023-04-10 17:00:50, Price=1717.72, v_min=(1720.36,-2.64), v_max=(1721.97,4.25), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.72]
2023-04-10 17:01:05, Price=1717.79, v_min=(1720.36,-2.57), v_max=(1721.97,4.18), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.79]
2023-04-10 17:01:20, Price=1717.88, v_min=(1720.36,-2.48), v_max=(1721.97,4.09), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.88]
2023-04-10 17:01:35, Price=1718.26, v_min=(1720.36,-2.10), v_max=(1721.97,3.71), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.26]
2023-04-10 17:01:50, Price=1718.26, v_min=(1720.36,-2.10), v_max=(1721.97,3.71), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.26]
2023-04-10 17:02:05, Price=1718.26, v_min=(1720.36,-2.10), v_max=(1721.97,3.71), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.26]
2023-04-10 17:02:20, Price=1718.47, v_min=(1720.36,-1.89), v_max=(1721.97,3.50), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.47]
2023-04-10 17:02:35, Price=1718.10, v_min=(1720.36,-2.26), v_max=(1721.97,3.87), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.1]
2023-04-10 17:02:50, Price=1718.31, v_min=(1720.36,-2.05), v_max=(1721.97,3.66), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.31]
2023-04-10 17:03:05, Price=1718.31, v_min=(1720.36,-2.05), v_max=(1721.97,3.66), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.31]
2023-04-10 17:03:20, Price=1718.41, v_min=(1720.36,-1.95), v_max=(1721.97,3.56), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.41]
2023-04-10 17:03:35, Price=1718.08, v_min=(1720.36,-2.28), v_max=(1721.97,3.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.08]
2023-04-10 17:03:50, Price=1718.05, v_min=(1720.36,-2.31), v_max=(1721.97,3.92), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.05]
2023-04-10 17:04:05, Price=1717.99, v_min=(1720.36,-2.37), v_max=(1721.97,3.98), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.99]
2023-04-10 17:04:20, Price=1718.44, v_min=(1720.36,-1.92), v_max=(1721.97,3.53), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.44]
2023-04-10 17:04:34, Price=1718.33, v_min=(1720.36,-2.03), v_max=(1721.97,3.64), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.33]
2023-04-10 17:04:50, Price=1718.22, v_min=(1720.36,-2.14), v_max=(1721.97,3.75), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.22]
2023-04-10 17:05:05, Price=1718.14, v_min=(1720.36,-2.22), v_max=(1721.97,3.83), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.14]
2023-04-10 17:05:20, Price=1718.14, v_min=(1720.36,-2.22), v_max=(1721.97,3.83), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.14]
2023-04-10 17:05:35, Price=1718.14, v_min=(1720.36,-2.22), v_max=(1721.97,3.83), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1718.14]
2023-04-10 17:05:50, Price=1717.36, v_min=(1720.36,-3.00), v_max=(1721.97,4.61), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.36]
2023-04-10 17:06:06, Price=1717.38, v_min=(1720.36,-2.98), v_max=(1721.97,4.59), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.38]
2023-04-10 17:06:21, Price=1716.64, v_min=(1716.64,0.00), v_max=(1716.64,0.00), trend=-1, action=sell, min_sell_price_reached=0, v_stack=[1716.64]
2023-04-10 17:06:36, Price=1716.62, v_min=(1716.62,0.00), v_max=(1716.64,0.02), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1716.62]
2023-04-10 17:06:51, Price=1716.33, v_min=(1716.33,0.00), v_max=(1716.64,0.31), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1716.33]
2023-04-10 17:07:06, Price=1716.38, v_min=(1716.33,0.05), v_max=(1716.64,0.26), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1716.38]
2023-04-10 17:07:20, Price=1715.76, v_min=(1715.76,0.00), v_max=(1716.64,0.88), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.76]
2023-04-10 17:07:36, Price=1716.09, v_min=(1715.76,0.33), v_max=(1716.64,0.55), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1716.09]
2023-04-10 17:07:50, Price=1715.59, v_min=(1715.59,0.00), v_max=(1716.64,1.05), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.59]
2023-04-10 17:08:05, Price=1714.50, v_min=(1714.50,0.00), v_max=(1716.64,2.14), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.5]
2023-04-10 17:08:20, Price=1714.50, v_min=(1714.50,0.00), v_max=(1716.64,2.14), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.5]
2023-04-10 17:08:36, Price=1715.43, v_min=(1714.50,0.93), v_max=(1716.64,1.21), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.43]
2023-04-10 17:08:50, Price=1715.43, v_min=(1714.50,0.93), v_max=(1716.64,1.21), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.43]
2023-04-10 17:09:05, Price=1715.43, v_min=(1714.50,0.93), v_max=(1716.64,1.21), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.43]
2023-04-10 17:09:20, Price=1715.48, v_min=(1714.50,0.98), v_max=(1716.64,1.16), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.48]
2023-04-10 17:09:35, Price=1715.57, v_min=(1714.50,1.07), v_max=(1716.64,1.07), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.57]
2023-04-10 17:09:50, Price=1715.52, v_min=(1714.50,1.02), v_max=(1716.64,1.12), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.52]
2023-04-10 17:10:05, Price=1715.07, v_min=(1714.50,0.57), v_max=(1716.64,1.57), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.07]
2023-04-10 17:10:20, Price=1715.17, v_min=(1714.50,0.67), v_max=(1716.64,1.47), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.17]
2023-04-10 17:10:36, Price=1715.71, v_min=(1714.50,1.21), v_max=(1716.64,0.93), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.71]
2023-04-10 17:10:50, Price=1715.73, v_min=(1714.50,1.23), v_max=(1716.64,0.91), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.73]
2023-04-10 17:11:05, Price=1715.36, v_min=(1714.50,0.86), v_max=(1716.64,1.28), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.36]
2023-04-10 17:11:21, Price=1715.55, v_min=(1714.50,1.05), v_max=(1716.64,1.09), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.55]
2023-04-10 17:11:35, Price=1715.52, v_min=(1714.50,1.02), v_max=(1716.64,1.12), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.52]
2023-04-10 17:11:51, Price=1715.51, v_min=(1714.50,1.01), v_max=(1716.64,1.13), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.51]
2023-04-10 17:12:06, Price=1715.55, v_min=(1714.50,1.05), v_max=(1716.64,1.09), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.55]
2023-04-10 17:12:22, Price=1715.26, v_min=(1714.50,0.76), v_max=(1716.64,1.38), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.26]
2023-04-10 17:12:35, Price=1715.26, v_min=(1714.50,0.76), v_max=(1716.64,1.38), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.26]
2023-04-10 17:12:50, Price=1715.02, v_min=(1714.50,0.52), v_max=(1716.64,1.62), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.02]
2023-04-10 17:13:05, Price=1715.01, v_min=(1714.50,0.51), v_max=(1716.64,1.63), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.01]
2023-04-10 17:13:20, Price=1715.10, v_min=(1714.50,0.60), v_max=(1716.64,1.54), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.1]
2023-04-10 17:13:35, Price=1715.11, v_min=(1714.50,0.61), v_max=(1716.64,1.53), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.11]
2023-04-10 17:13:50, Price=1715.00, v_min=(1714.50,0.50), v_max=(1716.64,1.64), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.0]
2023-04-10 17:14:05, Price=1714.58, v_min=(1714.50,0.08), v_max=(1716.64,2.06), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.58]
2023-04-10 17:14:20, Price=1714.54, v_min=(1714.50,0.04), v_max=(1716.64,2.10), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.54]
2023-04-10 17:14:35, Price=1714.54, v_min=(1714.50,0.04), v_max=(1716.64,2.10), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.54]
