Datetime,BTCUSDT,ETHUSDT,MATICUSDT,MANAUSDT
2023-03-28 19:10:02,26848.79,1736.0,1.0566,0.5627
2023-03-28 19:11:02,26841.27,1735.4,1.0565,0.5626
2023-03-28 19:12:03,26856.14,1736.57,1.0566,0.5628
2023-03-28 19:13:02,26860.92,1736.54,1.0564,0.5627
2023-03-28 19:14:03,26867.04,1736.89,1.0561,0.5627
2023-03-28 19:15:03,26866.82,1737.25,1.0563,0.5629
2023-03-28 19:16:03,26885.6,1738.28,1.057,0.5635
2023-03-28 19:17:02,26890.0,1738.51,1.0573,0.5634
2023-03-28 19:18:02,26892.04,1738.94,1.0584,0.5638
2023-03-28 19:19:02,26871.53,1738.43,1.058,0.5637
2023-03-28 19:20:02,26869.16,1738.78,1.0587,0.5636
2023-03-28 19:21:02,26877.59,1738.7,1.0588,0.564
2023-03-28 19:22:02,26881.72,1738.94,1.0591,0.564
2023-03-28 19:23:02,26879.36,1738.95,1.0587,0.5637
2023-03-28 19:24:02,26879.7,1739.79,1.0589,0.5637
2023-03-28 19:25:02,26871.0,1739.29,1.058,0.5634
2023-03-28 19:26:03,26875.22,1739.66,1.0581,0.5637
2023-03-28 19:27:03,26887.19,1740.8,1.0593,0.5643
2023-03-28 19:28:03,26896.71,1741.47,1.0596,0.5648
2023-03-28 19:29:02,26894.84,1741.58,1.0596,0.565
2023-03-28 19:30:03,26902.41,1742.03,1.0598,0.5646
2023-03-28 19:31:03,26891.7,1741.12,1.0589,0.5642
2023-03-28 19:32:03,26877.05,1739.91,1.0583,0.5637
2023-03-28 19:33:03,26868.49,1739.98,1.0585,0.564
2023-03-28 19:34:03,26878.25,1740.12,1.0586,0.5639
2023-03-28 19:35:02,26882.64,1740.38,1.0589,0.5642
2023-03-28 19:36:02,26876.06,1739.82,1.0587,0.564
2023-03-28 19:37:03,26918.67,1742.13,1.0603,0.5648
2023-03-28 19:38:03,26914.28,1741.74,1.0612,0.565
2023-03-28 19:39:03,26900.0,1740.87,1.0609,0.5649
2023-03-28 19:40:02,26905.08,1740.93,1.0612,0.5648
2023-03-28 19:41:02,26921.5,1742.13,1.0619,0.5651
2023-03-28 19:42:02,26928.35,1743.26,1.0623,0.5654
2023-03-28 19:43:02,26972.68,1744.5,1.0635,0.5658
2023-03-28 19:44:03,27001.53,1747.51,1.0647,0.5667
2023-03-28 19:45:03,27046.84,1749.8,1.0657,0.5673
2023-03-28 19:46:02,27160.84,1766.59,1.0772,0.571
2023-03-28 19:47:02,27134.02,1768.42,1.0755,0.5713
2023-03-28 19:48:03,27213.99,1774.37,1.0791,0.5725
2023-03-28 19:49:03,27236.99,1774.02,1.079,0.5722
2023-03-28 19:50:02,27273.65,1774.03,1.079,0.5728
2023-03-28 19:51:03,27251.26,1772.11,1.0776,0.5717
2023-03-28 19:52:03,27230.03,1768.84,1.0764,0.5711
2023-03-28 19:53:03,27245.28,1769.99,1.077,0.5718
2023-03-28 19:54:03,27233.58,1770.53,1.0767,0.5719
2023-03-28 19:55:03,27221.4,1770.0,1.0757,0.5714
2023-03-28 19:56:03,27233.48,1773.05,1.0773,0.5723
2023-03-28 19:57:02,27376.71,1778.72,1.0801,0.5739
2023-03-28 19:58:02,27375.69,1777.96,1.0793,0.5734
2023-03-28 19:59:03,27368.48,1777.94,1.0797,0.5738
2023-03-28 20:00:02,27362.59,1779.08,1.0797,0.574
2023-03-28 20:01:03,27367.49,1778.46,1.0808,0.5748
2023-03-28 20:02:02,27377.54,1779.06,1.0822,0.5754
2023-03-28 20:03:02,27374.99,1778.54,1.0831,0.5752
2023-03-28 20:04:02,27292.93,1774.38,1.0795,0.5738
2023-03-28 20:05:02,27284.39,1772.79,1.077,0.5731
2023-03-28 20:06:02,27315.19,1774.57,1.079,0.5739
2023-03-28 20:07:02,27324.26,1774.1,1.0795,0.574
2023-03-28 20:08:02,27296.71,1771.72,1.0793,0.5739
2023-03-28 20:09:02,27317.9,1771.83,1.0803,0.5742
2023-03-28 20:10:02,27287.02,1771.95,1.0802,0.5741
2023-03-28 20:11:02,27255.81,1771.2,1.0821,0.574
2023-03-28 20:12:02,27275.2,1772.79,1.0839,0.5743
2023-03-28 20:13:02,27289.96,1773.75,1.0853,0.5747
2023-03-28 20:14:02,27283.22,1773.75,1.0853,0.5746
2023-03-28 20:15:02,27280.85,1774.93,1.0856,0.5749
2023-03-28 20:16:02,27282.25,1774.4,1.0853,0.5752
2023-03-28 20:17:02,27232.03,1771.77,1.0825,0.5737
